,Tender name,Industry,Location of contract,Value of contract,Procurment references,Published date,closing date,closing time
0,Residence Roof Insulation Works Oslo,Roof insulation work - 45261410,SW1A 2AH,£0,tender_315329/1106442,15 September 2022,10 October 2022,3pm
1,General Construction Multi Trade - GCMT - Housing & residential (20% VAT),Construction work - 45000000,United Kingdom,"£10,000 to £30,000",4CD94822-57B3-4E8F-9BB5-EAFD6046F67D,15 September 2022,30 September 2022,12pm
2,SUEZ St Erth Waste Transfer Station Cornwall - Sub Structure Works,Construction work - 45000000,England,"£1,000,000",CLTD001-DN633319-94512033,15 September 2022,29 September 2022,2pm
3,Force Medical Advisor (FMA) Services,Administrative healthcare services - 75122000,South West,£0,20220915143325-30310,15 September 2022,19 October 2022,12pm
4,Customer Experience Platform,Software package and information systems - 48000000,NR1 2DH,£0,IT-217-2349-NCCT42250,15 September 2022,18 October 2022,10am
5,Bank Accounts for Appointee and Deputy Clients Within Croydon,Credit cards - 30161000,England,£0,CROYD001-DN633316-70697123,15 September 2022,29 September 2022,12pm
6,"PIN for the Provision of a Special Allocation Scheme for NHS Bristol, North Somerset, and South Gloucestershire Integrated Care Board",Health services - 85100000,South West,CD0005,18 August 2022,19 October 2022,Yes,Yes
7,P0905 - Birmingham Carers Hub,Provision of services to the community - 75200000,B4 7WB,£0,IT-100-3764-P0905,15 September 2022,21 October 2022,12pm
8,CSI/CYP/ISF Children's Pilot - EOI ONLY,Financial and insurance services - 66000000,South West,BRISTOLCC001-DN633233-07547312,15 September 2022,29 September 2022,Yes,Yes
9,UCLan School of Dentistry Clinical Recording Software,Software package and information systems - 48000000,North West,"£30,000",PST-22-126,15 September 2022,29 September 2022,12pm
10,"SparkFund is an ERDF funded grants programme available to Small & Medium Sized Enterprises (SMEs), located in either the Humber of York & North Yorkshire Local Enterprise Partnership (LEP) areas. The total value of the programme is £17.8m and it is in receipt of £9.8m of ERDF grant funding. SparkFund is led and managed by the University of Hull and a dedicated SparkFund Team has been established to act as the direct interface with eligible SMEs and to support them to scope, design and successfully procure goods and/or services. The grant recipient, Additive-X Ltd wish to enhance their facilities and service offering at their main site in Ripon. The facility",Ink sources for printing machinery - 30192112,HU6 7RX,"£227,997.60",0a9e5bea-ae67-4dd9-b6f2-b23fbe8bcc0b,15 September 2022,19 October 2022,5pm
11,Integrated Carers Service,Health and social work services - 85000000,Yorkshire and the Humber,"£943,880",20220915140313-103835,15 September 2022,17 October 2022,12pm
12,Gambling addiction materials and management health expert advice service,Addiction treatment - 33693300,Any region,tender_317014/1106253,15 September 2022,29 September 2022,Yes,Yes
13,"Provision of Air Conditioning Maintenance and Repair Services for the British High Commission in Maputo, Mozambique.",Repair and maintenance services - 50000000,Any region,£0,tender_317038/1106350,15 September 2022,7 October 2022,5pm
14,CWC20100 Rough Sleepers Service,"Other community, social and personal services - 98000000",England,"£1,560,000",WOLVCITY001-DN626307-35691008,15 September 2022,13 October 2022,12pm
15,INTEGRATED MENTAL HEALTH NETWORK SERVICE,Health and social work services - 85000000,United Kingdom,"£5,377,000",HACK001-DN633252-23846041,15 September 2022,16 September 2022,1 July 2023
16,Piped Medical Gases and Vacuum Systems,Medical gases - 24111500,LA1 4RP,£0,LGM32632,15 September 2022,6 October 2022,2pm
17,HMC Protector - Planned Maintenance and Safety Equipment Recertification,Ships and boats - 34500000,M5 3LZ,"£0 to £138,760",CF-0269500D58000000L5A4EAK2,8 September 2022,22 September 2022,5pm
18,IA2886 Framework Agreement for Vehicle Maintenance Service for South Staffordshire Council,Parts and accessories for vehicles and their engines - 34300000,ST16 2DH,"£50,000",20f39e2c-b6b0-4317-af1a-2b8a4f997a74,15 September 2022,13 October 2022,12pm
19,Gathering evidence on Plants for the Species Evidence Base,Research services - 73110000,England,"£8,000 to £14,000",SEB-PLANTS,14 September 2022,30 September 2022,12pm
20,Provision of External Print Services,Printed matter and related products - 22000000,West Midlands,"£0 to £50,000",20220915130320-86783,15 September 2022,4 October 2022,12pm
21,Gathering evidence on Lichen for the Species Evidence Base,Research services - 73110000,England,"£6,000 to £9,000",SEB-LICHEN,14 September 2022,30 September 2022,12pm
22,Landscaping for allotment provision,Agricultural and horticultural products - 03100000,ST19 9NR,"£10,000",Platinum jubilee allotments,15 September 2022,10 October 2022,5pm
23,Virtual / Hybrid conferencing for the British Council,"Networking, Internet and intranet software package - 48200000",E20 1JQ,£0.01,IT-117-2574-BC/02574,15 September 2022,17 October 2022,12pm
24,The Provision of a Sefton Council Young People and Families Substance use Service,Health and social work services - 85000000,England,"£1,750,000",SEFT001-DN632801-83564647,15 September 2022,17 October 2022,12pm
25,Gathering evidence on Lepidoptera for the Species Evidence Base,Research services - 73110000,England,"£9,000 to £13,000",SEB-LEPIDOPTERA,14 September 2022,30 September 2022,12pm
26,Gathering evidence on Invertebrates for the Species Evidence Base,Research services - 73110000,England,"£11,000 to £16,000",SEB-INVERTEBRATES,14 September 2022,30 September 2022,12pm
27,Gathering evidence on Fungi for the Species Evidence Base,Research services - 73110000,England,"£2,000 to £3,000",SEB-FUNGI,14 September 2022,30 September 2022,12pm
28,Gathering evidence on Bryophytes for the Species Evidence Base,Research services - 73110000,England,"£2,000 to £4,000",SEB-BRYOPHYTES,14 September 2022,30 September 2022,12pm
29,Gathering evidence on Birds for the Species Evidence Base,Research services - 73110000,England,"£3,000 to £5,000",SEB-BIRDS,14 September 2022,30 September 2022,12pm
30,West Stow Visitor Centre Re-Roofing,Roof - 44112400,IP33 3YU,£0,IT-368-13480-WSC/13480/2022,15 September 2022,14 October 2022,12pm
31,"161_23 Artists' Grounds, Brushes, Art Pads & Painting Tools",Processed paper and paperboard - 30197600,East Midlands,"£7,000,000",161_23,31 August 2022,3 October 2022,12pm
32,SH0859 Gas & Electric Catering Equipment Maintenance,Repair and maintenance services of catering equipment - 50883000,SO40 2RZ,"£75,000",CF-1078800D0O000000rwimUAA,15 September 2022,17 October 2022,12pm
33,"Re-opening of Stage 1 Application for Adult Education funding, 16-23 Traineeships & other Vocational Work 2022-2023",Education and training services - 80000000,England,"£119,000",BUCKSH001-DN633194-92971058,15 September 2022,26 September 2022,12pm
34,Market Engagement - Occupational Therapy Service,Health services - 85100000,Yorkshire and the Humber,£0,20220915121527-104123,15 September 2022,29 September 2022,12pm
35,Early Engagement Opportunity - Community Meals Management Software (COTS),Software package and information systems - 48000000,BS1 5TR,BRISTOLCC001-DN633239-95446768,15 September 2022,7 October 2022,Yes,No
